model,source_file,n_items,n_valid_predictions,n_invalid_predictions,raw_accuracy,language_only_advantage,mcc,p_choose_answer1,p_choose_answer2,position_bias,preferred_position,lexical_attraction_rate,n_lexically_distinguishable,correct_option_lexical_advantage,longer_option_selection_rate,n_different_length_pairs,correct_option_longer_rate,mean_answer1_length,mean_answer2_length
gemma,data/output/no_input/gemma.csv,1200,1192,8,0.5741666666666667,0.07416666666666671,0.16157329254260244,0.6401006711409396,0.3598993288590604,0.1401006711409396,answer1,0.4405772495755518,1178,0.4830220713073005,0.6348684210526315,608,0.7105263157894737,14.101666666666667,14.13
gemma-4-12B,data/output/no_input/gemma-4-12B.csv,1200,1192,8,0.5925,0.09250000000000003,0.23158576837347225,0.7734899328859061,0.22651006711409397,0.27348993288590606,answer1,0.46434634974533107,1178,0.4838709677419355,0.5986842105263158,608,0.7105263157894737,14.101666666666667,14.13
qwen,data/output/no_input/qwen.csv,1200,1200,0,0.5083333333333333,0.008333333333333304,0.083753151271601,0.99,0.01,0.49,answer1,0.4814502529510961,1186,0.484822934232715,0.5122749590834698,611,0.7119476268412439,14.101666666666667,14.13
qwen-30B,data/output/no_input/qwen-30B.csv,1200,1200,0,0.61,0.10999999999999999,0.221882899651061,0.435,0.565,0.065,answer2,0.47470489038785835,1186,0.484822934232715,0.574468085106383,611,0.7119476268412439,14.101666666666667,14.13
