model,comparison,base_experiment,new_experiment,n_paired_items,base_accuracy,new_accuracy,conditional_modality_gain,repair_rate,damage_rate,n_stable_correct,n_damage,n_repair,n_stable_wrong
gemma,audio_added_to_video,video_only,audio_video,1200,0.6983333333333334,0.7716666666666666,0.07333333333333325,0.44751381215469616,0.0883054892601432,764,74,162,200
gemma,transcription_added_to_video,video_only,video_transcription,1200,0.6983333333333334,0.7508333333333334,0.05249999999999999,0.43646408839779005,0.11336515513126491,743,95,158,204
gemma-4-12B,audio_added_to_video,video_only,audio_video,1200,0.7308333333333333,0.805,0.07416666666666671,0.4891640866873065,0.07867730900798175,808,69,158,165
gemma-4-12B,transcription_added_to_video,video_only,video_transcription,1200,0.7308333333333333,0.8475,0.1166666666666667,0.6408668730650154,0.07639680729760548,810,67,207,116
qwen,audio_added_to_video,video_only,audio_video,1200,0.725,0.7891666666666667,0.0641666666666667,0.4696969696969697,0.0896551724137931,792,78,155,175
qwen,transcription_added_to_video,video_only,video_transcription,1200,0.725,0.755,0.030000000000000027,0.4121212121212121,0.11494252873563218,770,100,136,194
qwen-30B,audio_added_to_video,video_only,audio_video,1200,0.7325,0.8316666666666667,0.09916666666666663,0.4984423676012461,0.04664391353811149,838,41,160,161
qwen-30B,transcription_added_to_video,video_only,video_transcription,1200,0.7325,0.8408333333333333,0.10833333333333328,0.5077881619937694,0.03754266211604096,846,33,163,158
