model,status,missing_modes,n_complete_items,n_observations,accuracy_no_input,accuracy_audio_only,accuracy_video_only,accuracy_audio_video,interaction_beta,interaction_std_error,interaction_z,interaction_p_value,interaction_ci95_low,interaction_ci95_high,interaction_odds_ratio,interaction_or_ci95_low,interaction_or_ci95_high
gemma,ok,,1200,4800,0.5741666666666667,0.7458333333333333,0.6983333333333334,0.7716666666666666,-0.39926802125344607,0.09662395603461,-4.132184580710307,3.5933167640242064e-05,-0.5886474951250633,-0.20988854738182885,0.6708108856829056,0.5550775223250546,0.8106745927412473
gemma-4-12B,ok,,1200,4800,0.5925,0.7591666666666667,0.7308333333333333,0.805,-0.3548182191085706,0.10814253329214124,-3.2810237406779463,0.0010343103791621306,-0.5667736895580912,-0.14286274865905,0.7013009147277176,0.567352945794969,0.8668730402180187
qwen,ok,,1200,4800,0.5083333333333333,0.735,0.725,0.7891666666666667,-0.6362952056838753,0.09987406755105885,-6.370975181906761,1.8783003825884438e-10,-0.8320447810734711,-0.4405456302942795,0.529249557167865,0.4351585719620461,0.6436851111525652
qwen-30B,ok,,1200,4800,0.61,0.7916666666666666,0.7325,0.8316666666666667,-0.29754704433027723,0.1163115442718944,-2.558190128012742,0.01052185473233632,-0.5255134820894263,-0.06958060657112819,0.7426376455083065,0.5912516892548465,0.932784941758372
